objectid,event_type,hood_158
2308,Suicide-related,85
2309,Suicide-related,31
2310,Suicide-related,169
2311,Suicide-related,54
2314,Suicide-related,2
2317,Suicide-related,139
2318,Suicide-related,155
2321,Suicide-related,81
2322,Suicide-related,170
2327,Suicide-related,63
2330,Suicide-related,156
2335,Suicide-related,172
2337,Suicide-related,11
2342,Suicide-related,32
2343,Suicide-related,35
2351,Suicide-related,87
2352,Suicide-related,61
2358,Suicide-related,90
2363,Suicide-related,47
2365,Suicide-related,166
2370,Suicide-related,135
2372,Suicide-related,103
2373,Suicide-related,115
2375,Suicide-related,135
2378,Suicide-related,71
2383,Suicide-related,122
2384,Suicide-related,39
2391,Suicide-related,171
2392,Suicide-related,168
2395,Suicide-related,167
2397,Suicide-related,170
2398,Suicide-related,81
2399,Suicide-related,129
2401,Suicide-related,99
2403,Suicide-related,134
2404,Suicide-related,145
2405,Suicide-related,30
2411,Suicide-related,42
2413,Suicide-related,144
2415,Suicide-related,153
2417,Suicide-related,39
2419,Suicide-related,155
2425,Suicide-related,21
2429,Suicide-related,168
2431,Suicide-related,174
2432,Suicide-related,100
2433,Suicide-related,102
2435,Suicide-related,74
2440,Suicide-related,73
2441,Suicide-related,79
2444,Suicide-related,95
2446,Suicide-related,88
2447,Suicide-related,115
2450,Suicide-related,74
2452,Suicide-related,129
2459,Suicide-related,85
2466,Suicide-related,58
2467,Suicide-related,25
2468,Suicide-related,168
2470,Suicide-related,106
2471,Suicide-related,166
2474,Suicide-related,54
2487,Suicide-related,168
2489,Suicide-related,6
2491,Suicide-related,87
2492,Suicide-related,43
2493,Suicide-related,67
2495,Suicide-related,73
2497,Suicide-related,27
2498,Suicide-related,167
2500,Suicide-related,18
2503,Suicide-related,27
2516,Suicide-related,1
2518,Suicide-related,37
2519,Suicide-related,168
2520,Suicide-related,170
2521,Suicide-related,25
2522,Suicide-related,159
2523,Suicide-related,151
2536,Suicide-related,37
2540,Suicide-related,108
2543,Suicide-related,162
2545,Suicide-related,83
2546,Suicide-related,149
2553,Suicide-related,87
2554,Suicide-related,85
2558,Suicide-related,27
2560,Suicide-related,81
2561,Suicide-related,101
2562,Suicide-related,125
2565,Suicide-related,40
2568,Suicide-related,86
2569,Suicide-related,124
2573,Suicide-related,57
2576,Suicide-related,174
2577,Suicide-related,69
2582,Suicide-related,43
2588,Suicide-related,121
2589,Suicide-related,68
2590,Suicide-related,165
2592,Suicide-related,85
2594,Suicide-related,143
2595,Suicide-related,170
2597,Suicide-related,85
2599,Suicide-related,7
2601,Suicide-related,162
2603,Suicide-related,122
2604,Suicide-related,16
2615,Suicide-related,57
2622,Suicide-related,144
2623,Suicide-related,144
2624,Suicide-related,92
2628,Suicide-related,172
2630,Suicide-related,92
2632,Suicide-related,108
2639,Suicide-related,94
2643,Suicide-related,62
2646,Suicide-related,21
2651,Suicide-related,66
2652,Suicide-related,128
2656,Suicide-related,21
2678,Suicide-related,71
2679,Suicide-related,24
2684,Suicide-related,8
2685,Suicide-related,168
2687,Suicide-related,128
2700,Suicide-related,168
2702,Suicide-related,145
2708,Suicide-related,155
2725,Suicide-related,168
2726,Suicide-related,163
2727,Suicide-related,71
2728,Suicide-related,7
2736,Suicide-related,50
2737,Suicide-related,95
2741,Suicide-related,92
2744,Suicide-related,13
2752,Suicide-related,107
2758,Suicide-related,170
2759,Suicide-related,167
2761,Suicide-related,97
2764,Suicide-related,70
2771,Suicide-related,74
2773,Suicide-related,56
2779,Suicide-related,25
2780,Suicide-related,63
2781,Suicide-related,164
2786,Suicide-related,52
2787,Suicide-related,120
2788,Suicide-related,170
2791,Suicide-related,70
2792,Suicide-related,158
2799,Suicide-related,25
2802,Suicide-related,122
2805,Suicide-related,166
2808,Suicide-related,108
2811,Suicide-related,95
2812,Suicide-related,154
2815,Suicide-related,167
2818,Suicide-related,122
2819,Suicide-related,9
2821,Suicide-related,95
2823,Suicide-related,135
2824,Suicide-related,70
2826,Suicide-related,35
2834,Suicide-related,166
2835,Suicide-related,174
2841,Suicide-related,166
2842,Suicide-related,95
2843,Suicide-related,170
2844,Suicide-related,170
2850,Suicide-related,44
2852,Suicide-related,142
2855,Suicide-related,170
2859,Suicide-related,146
2862,Suicide-related,170
2866,Suicide-related,126
2877,Suicide-related,1
2881,Suicide-related,135
2882,Suicide-related,73
2888,Suicide-related,143
2889,Suicide-related,39
2894,Suicide-related,70
2897,Suicide-related,123
2899,Suicide-related,62
2900,Suicide-related,170
2901,Suicide-related,170
2903,Suicide-related,111
2904,Suicide-related,111
2905,Suicide-related,119
2915,Suicide-related,24
2919,Suicide-related,71
2927,Suicide-related,167
2929,Suicide-related,111
2930,Suicide-related,136
2935,Suicide-related,128
2936,Suicide-related,33
2945,Suicide-related,166
2947,Suicide-related,78
2949,Suicide-related,33
2956,Suicide-related,95
2961,Suicide-related,68
2968,Suicide-related,95
2976,Suicide-related,160
2978,Suicide-related,166
2981,Suicide-related,168
2984,Suicide-related,121
2989,Suicide-related,24
2992,Suicide-related,150
2997,Suicide-related,115
2999,Suicide-related,90
3006,Suicide-related,85
3010,Suicide-related,78
3011,Suicide-related,12
3012,Suicide-related,113
3025,Suicide-related,62
3027,Suicide-related,39
3029,Suicide-related,85
3031,Suicide-related,53
3032,Suicide-related,122
3033,Suicide-related,74
3037,Suicide-related,166
3039,Suicide-related,164
3040,Suicide-related,33
3041,Suicide-related,124
3043,Suicide-related,139
3050,Suicide-related,3
3052,Suicide-related,172
3058,Suicide-related,70
3060,Suicide-related,7
3063,Suicide-related,138
3064,Suicide-related,128
3067,Suicide-related,122
3072,Suicide-related,9
3073,Suicide-related,130
3074,Suicide-related,164
3083,Suicide-related,70
3084,Suicide-related,170
3085,Suicide-related,85
3089,Suicide-related,174
3098,Suicide-related,61
3099,Suicide-related,38
3100,Suicide-related,148
3103,Suicide-related,27
3114,Suicide-related,73
3117,Suicide-related,95
3119,Suicide-related,78
3121,Suicide-related,71
3122,Suicide-related,18
3125,Suicide-related,170
3126,Suicide-related,169
3127,Suicide-related,154
3128,Suicide-related,84
3129,Suicide-related,84
3131,Suicide-related,95
3134,Suicide-related,107
3135,Suicide-related,41
3136,Suicide-related,168
3139,Suicide-related,156
3140,Suicide-related,70
3142,Suicide-related,83
3145,Suicide-related,39
3153,Suicide-related,33
3158,Suicide-related,61
3159,Suicide-related,101
3160,Suicide-related,36
3165,Suicide-related,107
3167,Suicide-related,170
3173,Suicide-related,168
3174,Suicide-related,169
3176,Suicide-related,61
3181,Suicide-related,160
3186,Suicide-related,167
3187,Suicide-related,28
3188,Suicide-related,173
3192,Suicide-related,100
3196,Suicide-related,170
3197,Suicide-related,121
3198,Suicide-related,162
3204,Suicide-related,154
3207,Suicide-related,6
3210,Suicide-related,154
3216,Suicide-related,139
3218,Suicide-related,144
3220,Suicide-related,54
3222,Suicide-related,7
3224,Suicide-related,136
3226,Suicide-related,170
3230,Suicide-related,87
3235,Suicide-related,124
3246,Suicide-related,124
3248,Suicide-related,87
3249,Suicide-related,81
3250,Suicide-related,79
3254,Suicide-related,54
3255,Suicide-related,73
3256,Suicide-related,25
3257,Suicide-related,18
3258,Suicide-related,171
3259,Suicide-related,135
3262,Suicide-related,65
3263,Suicide-related,166
3264,Suicide-related,31
3271,Suicide-related,122
3277,Suicide-related,68
3279,Suicide-related,66
3282,Suicide-related,134
3283,Suicide-related,141
3284,Suicide-related,6
3288,Suicide-related,139
3289,Suicide-related,68
3290,Suicide-related,27
3295,Suicide-related,101
3300,Suicide-related,35
3302,Suicide-related,172
3305,Suicide-related,88
3308,Suicide-related,152
3310,Suicide-related,112
3327,Suicide-related,170
3328,Suicide-related,36
3329,Suicide-related,73
3331,Suicide-related,8
3333,Suicide-related,107
3338,Suicide-related,113
3346,Suicide-related,125
3351,Suicide-related,121
3358,Suicide-related,170
3361,Suicide-related,40
3365,Suicide-related,120
3366,Suicide-related,83
3376,Suicide-related,140
3380,Suicide-related,166
3381,Suicide-related,149
3384,Suicide-related,88
3392,Suicide-related,149
3394,Suicide-related,34
3395,Suicide-related,118
3396,Suicide-related,69
3397,Suicide-related,25
3399,Suicide-related,156
3403,Suicide-related,164
3406,Suicide-related,126
3407,Suicide-related,139
3412,Suicide-related,9
3413,Suicide-related,48
3415,Suicide-related,162
3418,Suicide-related,49
3424,Suicide-related,18
3430,Suicide-related,63
3431,Suicide-related,136
3436,Suicide-related,33
3437,Suicide-related,57
3442,Suicide-related,169
3452,Suicide-related,90
3456,Suicide-related,27
3458,Suicide-related,33
3460,Suicide-related,121
3461,Suicide-related,134
3467,Suicide-related,159
3468,Suicide-related,64
3471,Suicide-related,113
3473,Suicide-related,18
3474,Suicide-related,87
3475,Suicide-related,88
3477,Suicide-related,50
3480,Suicide-related,130
3483,Suicide-related,142
3484,Suicide-related,146
3485,Suicide-related,57
3486,Suicide-related,90
3497,Suicide-related,141
3498,Suicide-related,12
3500,Suicide-related,55
3502,Suicide-related,54
3506,Suicide-related,85
3508,Suicide-related,170
3511,Suicide-related,42
3513,Suicide-related,141
3515,Suicide-related,28
3516,Suicide-related,85
3517,Suicide-related,52
3519,Suicide-related,78
3520,Suicide-related,165
3522,Suicide-related,78
3524,Suicide-related,136
3525,Suicide-related,1
3527,Suicide-related,88
3530,Suicide-related,16
3533,Suicide-related,139
3534,Suicide-related,27
3538,Suicide-related,36
3539,Suicide-related,118
3546,Suicide-related,38
3549,Suicide-related,19
3551,Suicide-related,162
3556,Suicide-related,90
3562,Suicide-related,64
3563,Suicide-related,83
3564,Suicide-related,1
3567,Suicide-related,68
3568,Suicide-related,38
3571,Suicide-related,1
3572,Suicide-related,35
3575,Suicide-related,123
3576,Suicide-related,24
3589,Suicide-related,120
3591,Suicide-related,7
